Timestamp,price
8/16/2017 19:00,35
8/16/2017 20:00,35
8/16/2017 21:00,35
8/16/2017 22:00,25
8/16/2017 23:00,25
8/17/2017 0:00,25
8/17/2017 1:00,25
8/17/2017 2:00,25
8/17/2017 3:00,25
8/17/2017 4:00,25
8/17/2017 5:00,25
8/17/2017 6:00,25
8/17/2017 7:00,25
8/17/2017 8:00,35
8/17/2017 9:00,35
8/17/2017 10:00,35
8/17/2017 11:00,35
8/17/2017 12:00,35
8/17/2017 13:00,35
8/17/2017 14:00,75
8/17/2017 15:00,75
8/17/2017 16:00,75
8/17/2017 17:00,75
8/17/2017 18:00,75
8/17/2017 19:00,35
8/17/2017 20:00,35
8/17/2017 21:00,35
8/17/2017 22:00,25
8/17/2017 23:00,25
8/18/2017 0:00,25
8/18/2017 1:00,25
8/18/2017 2:00,25
8/18/2017 3:00,25
8/18/2017 4:00,25
8/18/2017 5:00,25
8/18/2017 6:00,25
8/18/2017 7:00,25
8/18/2017 8:00,35
8/18/2017 9:00,35
8/18/2017 10:00,35
8/18/2017 11:00,35
8/18/2017 12:00,35
8/18/2017 13:00,35
8/18/2017 14:00,75
8/18/2017 15:00,75
8/18/2017 16:00,75
8/18/2017 17:00,75
8/18/2017 18:00,75
8/18/2017 19:00,35
8/18/2017 20:00,35
8/18/2017 21:00,35
8/18/2017 22:00,25
8/18/2017 23:00,25
8/19/2017 0:00,25
8/19/2017 1:00,25
8/19/2017 2:00,25
8/19/2017 3:00,25
8/19/2017 4:00,25
8/19/2017 5:00,25
8/19/2017 6:00,25
8/19/2017 7:00,25
8/19/2017 8:00,35
8/19/2017 9:00,35
8/19/2017 10:00,35
8/19/2017 11:00,35
8/19/2017 12:00,35
8/19/2017 13:00,35
8/19/2017 14:00,75
8/19/2017 15:00,75
8/19/2017 16:00,75
8/19/2017 17:00,75
8/19/2017 18:00,75
8/19/2017 19:00,35
8/19/2017 20:00,35
8/19/2017 21:00,35
8/19/2017 22:00,25
8/19/2017 23:00,25
8/20/2017 0:00,25
8/20/2017 1:00,25
8/20/2017 2:00,25
8/20/2017 3:00,25
8/20/2017 4:00,25
8/20/2017 5:00,25
8/20/2017 6:00,25
8/20/2017 7:00,25
8/20/2017 8:00,35
8/20/2017 9:00,35
8/20/2017 10:00,35
8/20/2017 11:00,35
8/20/2017 12:00,35
8/20/2017 13:00,35
8/20/2017 14:00,75
8/20/2017 15:00,75
8/20/2017 16:00,75
8/20/2017 17:00,75
8/20/2017 18:00,75
8/20/2017 19:00,35
8/20/2017 20:00,35
8/20/2017 21:00,35
8/20/2017 22:00,25
8/20/2017 23:00,25
8/21/2017 0:00,25
8/21/2017 1:00,25
8/21/2017 2:00,25
8/21/2017 3:00,25
8/21/2017 4:00,25
8/21/2017 5:00,25
8/21/2017 6:00,25
8/21/2017 7:00,25
8/21/2017 8:00,35
8/21/2017 9:00,35
8/21/2017 10:00,35
8/21/2017 11:00,35
8/21/2017 12:00,35
8/21/2017 13:00,35
8/21/2017 14:00,75
8/21/2017 15:00,75
8/21/2017 16:00,75
8/21/2017 17:00,75
8/21/2017 18:00,75
8/21/2017 19:00,35
8/21/2017 20:00,35
8/21/2017 21:00,35
8/21/2017 22:00,25
8/21/2017 23:00,25
8/22/2017 0:00,25
8/22/2017 1:00,25
8/22/2017 2:00,25
8/22/2017 3:00,25
8/22/2017 4:00,25
8/22/2017 5:00,25
8/22/2017 6:00,25
8/22/2017 7:00,25
8/22/2017 8:00,35
8/22/2017 9:00,35
8/22/2017 10:00,35
8/22/2017 11:00,35
8/22/2017 12:00,35
8/22/2017 13:00,35
8/22/2017 14:00,75
8/22/2017 15:00,75
8/22/2017 16:00,75
8/22/2017 17:00,75
8/22/2017 18:00,75
8/22/2017 19:00,35
8/22/2017 20:00,35
8/22/2017 21:00,35
8/22/2017 22:00,25
8/22/2017 23:00,25
8/23/2017 0:00,25
8/23/2017 1:00,25
8/23/2017 2:00,25
8/23/2017 3:00,25
8/23/2017 4:00,25
8/23/2017 5:00,25
8/23/2017 6:00,25
8/23/2017 7:00,25
8/23/2017 8:00,35
8/23/2017 9:00,35
8/23/2017 10:00,35
8/23/2017 11:00,35
8/23/2017 12:00,35
8/23/2017 13:00,35
8/23/2017 14:00,75
8/23/2017 15:00,75
8/23/2017 16:00,75
8/23/2017 17:00,75
8/23/2017 18:00,75
8/23/2017 19:00,35
8/23/2017 20:00,35
8/23/2017 21:00,35
8/23/2017 22:00,25
8/23/2017 23:00,25
8/24/2017 0:00,25
8/24/2017 1:00,25
8/24/2017 2:00,25
8/24/2017 3:00,25
8/24/2017 4:00,25
8/24/2017 5:00,25
8/24/2017 6:00,25
8/24/2017 7:00,25
8/24/2017 8:00,35
